id_order,state,sku
301977,Completed,ADN0040
301981,Completed,JBL0096
301987,Completed,QNA0162
301990,Completed,TUC0289
301992,Completed,PAR0047
302001,Completed,SEA0100
302002,Completed,KAN0012-A
302004,Completed,WAC0166
302006,Completed,GRT0435
302007,Completed,APP1182
302002,Completed,IFX0057
302009,Completed,SEA0100
302010,Completed,CRU0043
302012,Completed,XDO0028
302013,Completed,APP1495
302015,Completed,WAC0160
302016,Completed,IFX0132
302018,Completed,LOG0142
302019,Completed,PAC0706
302023,Completed,WAC0128
302026,Completed,APP1204
302016,Completed,IFX0136
302030,Completed,TUC0273
302034,Completed,UAG0039
302032,Completed,APP1639
302037,Completed,ZAG0023
302042,Completed,BEL0264
302043,Completed,LAC0136
302044,Completed,TRA0004
302047,Completed,APP1474
302044,Completed,SAN0161
302054,Completed,LGE0040
301584,Completed,NTE0025
302060,Completed,APP1457
302061,Completed,APP0691
302062,Completed,JAW0042
302066,Completed,BLM0010
302067,Completed,JBL0097
302068,Completed,LAC0086
302069,Completed,MYF0001
302069,Completed,MYF0006
302071,Completed,SAM0089
302072,Completed,WAC0163
302076,Completed,APP1125
302078,Completed,SYN0121
302073,Completed,APP1656
302085,Completed,JBL0101
302086,Completed,DLK0002
302088,Completed,TRK0003
302095,Completed,TRA0033
302095,Completed,TUC0270
302097,Completed,APP1913
302106,Completed,PAC1555
302114,Completed,KEN0103
302117,Completed,BEL0219
302119,Completed,TPL0034
302128,Completed,PAR0047
302130,Completed,PAC1476
302137,Completed,IFX0040
302147,Completed,OTT0142
302148,Completed,PHI0066
302098,Completed,TUC0276
302147,Completed,IFR0007
302147,Completed,MUV0170
301711,Completed,LAC0166
302159,Completed,WOE0008
302161,Completed,ELG0033
302161,Completed,OWC0007
302169,Completed,PAR0048
302171,Completed,SAM0067
302171,Completed,OWC0046
302176,Completed,BEL0224
302190,Completed,LEX0022
302195,Completed,HTE0001
302197,Completed,SPE0182
302198,Completed,MUV0162
302199,Completed,IFX0039
302210,Completed,APP0696
302215,Completed,OTT0144
302223,Completed,KEN0217
302224,Completed,GRT0450
302230,Completed,KIN0155
302236,Completed,IFX0016
302240,Completed,APP1934
302245,Completed,APP0921
302250,Completed,HGD0009
302251,Completed,PAC1234
302259,Completed,TUC0245
302266,Completed,WDT0323
301906,Completed,TWS0060
302269,Completed,PEB0009
302280,Completed,PAC1903
302289,Completed,OWC0097-A
302289,Completed,OWC0098
302293,Completed,OWC0094
302304,Completed,KEN0206
302310,Completed,BEA0050
302312,Completed,WDT0366
302315,Completed,PAC1048
302317,Completed,STA0054
302327,Completed,STM0082
302330,Completed,PAC0127
302331,Completed,APP1639
302342,Completed,APP0691
302343,Completed,SAN0155
302344,Completed,SEA0100
302347,Completed,CRU0017
302351,Completed,NTE0040
302352,Completed,APP1934
302355,Completed,APP0393
302360,Completed,APP1236
302364,Completed,APP0094
302366,Completed,WAC0148
302369,Completed,APP1095
302368,Completed,APP1642
302331,Completed,BEL0266
302331,Completed,APP1638
302374,Completed,OWC0173
302374,Completed,STA0033
302377,Completed,PAC1578
302300,Completed,SAN0127
302391,Completed,MOP0030
302394,Completed,JBL0117
302395,Completed,SYN0140
302398,Completed,APP1804
302401,Completed,OWC0046
302403,Completed,CRU0017-2
302404,Completed,WDT0366
302408,Completed,WAC0128
302411,Completed,TPL0032
302414,Completed,PIE0022
261978,Completed,NTE0057
302418,Completed,FIF0004
302420,Completed,CRU0026-2
302426,Completed,TRK0005
302429,Completed,CRU0026
302430,Completed,SEA0100
302431,Completed,APP0601
302431,Completed,LOG0078
302438,Completed,LOG0078
302444,Completed,CRU0016-A
302445,Completed,APP0921
302450,Completed,KIN0155
302458,Completed,KIN0153-2
302461,Completed,SYN0133
302447,Completed,SAT0034
302470,Completed,NTE0014
302470,Completed,MOS0015
302474,Completed,ADN0038
302488,Completed,IFX0056
302505,Completed,OWC0054-2
302510,Completed,WAC0173
302512,Completed,MUV0178
302512,Completed,IFX0028
302530,Completed,SAN0128
302531,Completed,HGD0001
302411,Completed,KAN0046
302545,Completed,SEA0100
302551,Completed,APP0475
301936,Completed,DLL0022
302556,Completed,SAM0110
302568,Completed,PAC1030
302571,Completed,OWC0177
302575,Completed,TWS0071
302580,Completed,PHI0057
302580,Completed,PHI0066
302589,Completed,BEZ0172
302592,Completed,BNQ0043
302586,Completed,APP0953
302586,Completed,APP0404
302603,Completed,BLM0010
302607,Completed,PEB0009
302611,Completed,WAC0128
302612,Completed,SEA0100
302620,Completed,APP0695
302626,Completed,WAC0160
302627,Completed,LEX0021
302636,Completed,LOG0169
302641,Completed,SEA0038
302655,Completed,SYN0133
302655,Completed,WDT0177
302659,Completed,TPL0001
302661,Completed,OWC0154
302666,Completed,APP1641
302670,Completed,TPL0032
302672,Completed,BEL0219
302679,Completed,APP1039
302709,Completed,STA0036
302711,Completed,IFX0016
302714,Completed,SEA0038
302714,Completed,NTE0020
302717,Completed,LAC0180
302717,Completed,APP1913
302720,Completed,OWC0167
302722,Completed,SEA0101
302723,Completed,BEA0049
302728,Completed,ELG0033
302737,Completed,OWC0183
302738,Completed,TUC0225
302740,Completed,PAC1498
302741,Completed,FCM0003-2
302747,Completed,CRU0016-2
302198,Completed,LOG0078
302759,Completed,WAC0084
302765,Completed,BEL0286
302767,Completed,SAM0069
302768,Completed,LAC0086
302765,Completed,WOE0001
302774,Completed,SAT0002
302774,Completed,SAT0028
302775,Completed,LAC0200
302777,Completed,SPH0007
302768,Completed,SAN0149
302774,Completed,BEL0224
302788,Completed,MAC0131
302795,Completed,TPL0026
302161,Completed,LEX0031
302799,Completed,SPE0066
302800,Completed,OWC0039
302813,Completed,LAC0196
302817,Completed,NEA0003
302824,Completed,SPH0007
302826,Completed,FCM0003-2
302828,Completed,IKM0016
302841,Completed,APP1804
302842,Completed,OWC0048
302849,Completed,PAC1484
302857,Completed,PAC1555
302872,Completed,CEL0022
302872,Completed,MUV0166
302876,Completed,SAT0033
302879,Completed,CRU0026
302890,Completed,LGE0030
302890,Completed,SAT0034
302908,Completed,JAW0034
302913,Completed,JAW0042
302916,Completed,JAW0034
302917,Completed,SAT0018-A
302921,Completed,JAW0034
302922,Completed,KIN0153-2
302922,Completed,APP0694
302928,Completed,PAC1391
302930,Completed,BOO0062
302933,Completed,JAW0034
302935,Completed,JAW0034
302937,Completed,JAW0034
